EZABPQM;Mnémo;Date_Attribution
010217;NETW;21/09/2020
010218;SFRI;16/10/2020
010219;TWIL;23/11/2022
010220;SFR0;08/12/2011
010221;RHOV;03/07/2024
010222;BOUY;24/11/2016
010223;BOUY;24/11/2016
010224;BOUY;24/11/2016
010225;BOUY;24/11/2016
010226;BOUY;24/11/2016
010227;BOUY;24/11/2016
010228;BOUY;24/11/2016
010229;BOUY;24/11/2016
010230;BOUY;24/11/2016
010231;BOUY;24/11/2016
010232;BOUY;24/11/2016
010233;BOUY;24/11/2016
010234;BOUY;24/11/2016
010235;BOUY;24/11/2016
010236;BOUY;24/11/2016
010237;BOUY;24/11/2016
010238;BOUY;24/11/2016
010239;BOUY;24/11/2016
010240;BOUY;24/11/2016
010241;BOUY;24/11/2016
010242;MESS;12/05/2026
010243;SFR0;07/12/2020
010244;SDIR;12/12/2025
010245;OCCI;15/03/2021
010246;OTHD;05/08/2025
010247;ADSL;13/09/2021
010248;ADSL;13/09/2021
010249;MUON;07/05/2021
010250;KAVE;17/11/2025
010251;SDCI;10/01/2024
010252;LNCT;22/03/2024
010253;RHOV;25/11/2021
010254;ONOF;24/12/2021
010255;AIRC;19/04/2022
010256;LPUP;05/07/2024
010257;SNXS;27/11/2024
010258;PLUG;17/05/2022
010259;VONG;15/01/2024
010260;INCL;05/11/2015
010261;SFR0;19/11/2015
010262;SFR0;19/11/2015
010263;SFR0;19/11/2015
010264;SFR0;19/11/2015
010265;SFR0;19/11/2015
010266;COMP;03/01/2001
010267;SFR0;06/04/2017
010268;SFR0;06/04/2017
010269;SFR0;06/04/2017
010270;HTCG;18/05/2017
010271;SFR0;25/05/2017
010272;SFR0;25/05/2017
010273;SFR0;25/05/2017
010274;SFR0;15/06/2017
010275;SFR0;15/06/2017
010276;SFR0;15/06/2017
010277;JAG;18/01/2018
010278;VOIM;22/07/2024
010279;VASO;11/05/2021
010280;BTSI;22/03/2007
010281;NETW;26/10/2017
010282;SOIS;26/10/2017
010283;PAOP;23/11/2017
010284;LIXT;06/10/2025
010285;PHON;01/04/2021
010286;GNTL;25/01/2018
010287;BBSI;15/11/2021
010288;PJT3;15/06/2017
010289;SFR0;30/11/2017
010290;SFR0;30/11/2017
010291;SFR0;30/11/2017
010292;SFR0;30/11/2017
010293;SFR0;30/11/2017
010294;SFR0;30/11/2017
010295;SFR0;30/11/2017
010296;SFR0;30/11/2017
010297;SFR0;30/11/2017
010298;FCTE;14/12/2017
010299;LIXT;06/10/2025
010300;NIMU;05/05/2022
010301;COMP;12/05/2015
010302;RMII;30/11/2023
010303;SFR0;08/12/2011
010304;IZAL;27/06/2022
010305;ZOOM;04/07/2024
010306;NNTE;07/07/2022
010307;IPEV;15/07/2022
010308;VOYY;17/02/2025
010309;ZOOM;04/08/2022
010310;NXFR;29/08/2022
010311;DVSC;20/09/2022
010312;MSIO;05/10/2022
010313;SFR0;08/12/2011
010314;VOIM;12/06/2024
010315;SEWA;14/07/2016
010316;SFR0;08/12/2011
010317;SFR0;08/12/2011
010366;COMP;06/09/2005
010367;HETE;15/12/2022
